Firm Name,Address,Representative,Phone,Email,Website
Development Oriented Consultant (P) Ltd.,"Subidhanagar-32, Kathmandu, Nepal",Er. Saroj Kumar Vaidya,9841255963,doconsultant2073@gmail.com,N/A
Green Design Solution P. Ltd.,"New Baneshwor-10, Kathmandu, Nepal",Ar. Nabin Ghising,9851128217,gdesignsolution13@gmail.com,www.facebook.com/gdsarchitects
Epicenter Engineering Solution (P) Ltd.,"Jwagal-10, Lalitpur, Nepal",Er. Suman Thapa,01-5268485,info@eesnepal.com,www.eesnepal.com
Professional Network for Engineering Services (P) Ltd.,"Jwagal-10, Lalitpur, Nepal",Er. Arjun Marasini,01-5524889,pnetpvt.ltd@gmail.com,N/A
Research & Design Lab (P) Ltd.,"Sahayoginagar, Kathmandu, Nepal",Er. Dinesh Neupane,01-4794041,nepal.designlab@gmail.com,N/A
Naksa Design & Consult (P) Ltd. (NDC),"Koteshwor-32, Kathmandu, Nepal",Ar. Prakash Poudel,"01-4600069, 9756700096",nakshadesignconsultancy@gmail.com,N/A
Creed Structural Design (P) Ltd.,"Jwagal-10, Lalitpur, Nepal",Er. Birat Dev Bhatta,"9841847592, 9851181894, 9861444777",creedstructural@gmail.com,N/A
Galaxy Engineering Trade Link (P) Ltd.,Changunarayan bhaktapur & UN Park Pulchowk,Er. Chhabi Lal Adhikari,"9851194560, 9801989612",galaxyen2014@gmail.com,N/A
Ripple Training & Consulting Services (P) Ltd.,"Tokha-6, Kathmandu, Nepal",Ar. Sugandha Subedi,9851223133,ripple2074@gmail.com,"www.ripple.com.np, www.facebook.com/ripplecompany"
NKA Engineering Consultant (P) Ltd.,"Tarkeshwor-04, Kathmandu, Nepal",Er. Dipak Bahadur Budha,01-4950156,nkaengineering.consult@gmail.com,www.nka.com.np
Prajoo Engineering Consultancy,"Pokhara – 03, Kaski, Nepal",Er. Rajendra Prajoo,061 587351 / 061 583370 / 061 576193,prajoo.consultant@gmail.com,N/A
Grace Engineering (P) Ltd.,"Pokhara-08, Kaski, Nepal",Er. Bimal Bhandari,061-527650,graceepltd@gmail.com,"www.graceengineering.org, www.facebook.com/bimletar/"
Spiral Engineering & Educational Consultancy (P) Ltd.,"Chipledhunga, Pokhara-08, Kaski Branch Office: Nayabazar, 16 Khutaya, Kathmandu",Er. Upendra Luitel,061-536471,seecpkr@gmail.com,www.seecpkr.com
Traffic & Transport Unlimited Solution,"Pulchowk, Lalitpur, Nepal",Er. Subhash Dhungel,01-5269015,tatus.nepal@gmail.com,www.tatus.org.np
R & R Engineering Consultancy (P) Ltd.,"Katunje-1, Bhaktapur (Contact: Babarmahal, Kathmandu)",Dr. Er. Rekha Shrestha,"01-5330930, 6617066",info@rnrengineering.com.np,
Kiru Engineering Consultant (P) Ltd.,"Shantinagar-31, Kathmandu, Nepal",Er. Harish Kumar Singh,01-4622006,kiruengineeringconsultant@gmail.com,kiruengineeringconsultantpvtltd.business.site/
Digi-Nirman Engineering (P) Ltd.,"Biratnagar – 13, Ranipath, Koshi Project Area",Er. Bibek Singh,9852031342,"diginirmaan@gmail.com, bibeksingh@diginirmaan.com.np",www.diginirmaan.com.np
Rector Engineering Concern (P) Ltd.,Godavari-2 Kailali,Er. Surendra Kumar Thapa,9810735884/ 9849328874,rectorengineering166@gmail.com,
Niyatra Consult (P) Ltd.,"Krishnagalli, Lalitpur",Er. Umesh Dhital,9851056075,niyatraconsult@gmail.com,
Retro Engineering Consult (P) Ltd.,"Chapali-4, Budanilkantha, Kathmandu",Er. Dipendra Aryal,01-5245112,retro3consult@gmail.com,
Hydro Tunnelling and Research (P) Ltd.,"Kalikasthan, Kathmandu",Er. Prem Krishna KC,01-4430066,mail@htr.com.np,www.htr.com.np/
Future Creation Consultant (P) Ltd.,"Dhangadhi-4, Kailali",Er. Yagya Raj Bhatta,091-590101,fccn.kli@gmail.com,
Masta Engineering Consultancy (P) Ltd.,"Salyanthan, Kirtipur, Nepal",Er. Lokendra Joshi,01-5908039,mastaengineering2019@gmail.com,
Crystal Engineering and Management Consultant Pvt. Ltd. (CEMC),"Vishwa-18, Birgunj",Er. Ajeet Kumar Karna,01-5242246,info@cemc.com.np,
B.M.S. Nepal Pvt. Ltd.,"Mahadevsthan, Kathmandu-32, Nepal",Er. Roshan Bhattrai,9851100632,"bmsnepal2021@gmail.com, info.bmsnepal@gmail.com",
Spiral Grid Solutions (P) Ltd.,"Bhimsengola, Kathmandu",Er. Prajwol Karki,"9851091247, 9801043454",info@spiralgridsoln.com,www.spiralgridsoln.com
Green Nepal Engineering Service (P) Ltd.,"Suryabinayak-6, Bhaktapur, Nepal",Er. Bikash Dhonju,9841336715,vcas_01@hotmail.com,
Universal Engineering & Management Consult (P) Ltd.,"Ktm-32, Jadibuti",Er. Tarun Ranjan Dutta,"9851210558, 9851244924, 9851131645",universal.consult.123@gmail.com,
Samsiddhi Engineering (P) Ltd.,"Pinglasthan, KMC-9, Nepal",Er. Nidar Shrestha,9703093529,engineering.samsiddhi@gmail.com,
Platform Engineering Construction and Consultancy (P) Ltd.,"New Baneshwor, Kathmandu, Nepal",Er. Parbat Bhandari,9843707127,platformgroup5@gmail.com,
Eco Smart Engineering (P) Ltd.,"Jwagal-10, Kupondole, Lalitpur",Er. Prakash Adhikaree,9851130538,ecosmart071@gmail.com,
Scholars Consult (P) Ltd.,"Tokha-7, Kathmandu, Nepal",Er. Netra Lal Sapkota,"01-4792205, 9851175512",scholars.consult100@gmail.com,
Maharudra Group (P) Ltd.,"Bakhundole, Lalitpur-3",Er. Saroj Dhital,9849084018,maharudragroupsh@gmail.com,
Engineering and Educational Services (P) Ltd.,"UN park, Lalitpur",Er. Sandip Adhikari,9851138581,e2services.nepal@gmail.com,
G.S.T. Engineering (P) Ltd.,"Hattigauda 07, Budhanilkantha, Kathmandu",Er. Giresh Chand,9858030699,chand.giresh1970@yahoo.com,
Structure Design & Services (P) Ltd.,"KMC-4, Baluwatar, Kathmandu",Er. Santos Pudasaini,01-4548555,structurenepal@gmail.com,
A.H. Engineering Services (P) Ltd. (AHES),"Maitidevi, Kathmandu",Er. Hari Kishor Prasad Gupta,01-4117971,aahes10@gmail.com,
Realpath Engineering Consultancy (P) Ltd.,"Mahalaxmi -1, Imadol, Lalitpur, Nepal",Er. Guru Dutta Adhikari,01-5203442,realpatheng@gmail.com,
Arch Aid Planners and Developers (P) Ltd.,"Samakhusi, Kathmandu",Ar. Mahendra Raj Khatri,01-4954993,archaidpnd@gmail.com,
Clay Engineering Consultancy (P) Ltd.,"Manamaiju-7, Tarkeshwor, Kathmandu",Er. Udaya Raj Neupane,9841871994,clayengg12@gmail.com,www.clay.com.np
Forefront Engineering (P) Ltd.,"Fulbari Marg, Koteshwor, Kathmandu",Er. Mahesh Karki,9803404703,hello@forefronteng.com,
Utkarsh Engineering (P) Ltd.,"Vishnu Ga. Pa, Sarlahi",Er. Dinesh Kumar Singh,9852624540,utkarshengineering511@gmail.com,
S.W. Nepal (P) Ltd.,"Maharajgunj, Kathmandu, Nepal",Er. Shuva Sharma,01-4511156,info@swnepal.com.np,www.swnepal.com.np/
Prism Engineering Consultancy,"Pokhara-27, Kaski",Er. Ganesh Kandel,06-1564956,prism071@gmail.com,
Aksha Engineering Solution (P) Ltd.,"Samakhusi, Kathmandu",Er. Manash Gadtaula,9851134803,info.aksha078@gmail.com,
ARC Consult,"Pokhara-4, Gairapatan",Er. Suresh Prasad Shrestha,061-576789,consultarc2@gmail.com,
Setosewa Engineering (P) Ltd.,"Sankhamul-11, Lalitpur",Er. Gopal Giri,9851317099,info@setosewa.com.np,www.setosewa.com.np
New Star Engineering Consultancy,"Pokhara-08, Kaski, Nepal",Er. Anand P Sapkota,06-1574760,sapkotaanand@gmail.com,
Shubham Engineering Consultancy,"Pokhara-08, Kaski, Nepal",Er. Sujit Kumar Bijukchhe,061-524479,shubhampkr061@gmail.com,
Smart Structural and Engineering Consultancy,"Pokhara-04, RamKrishna Tole, Gopalji Magra, Kaski",Er. Birendra Kumar Ligal,9803002145,bnbligal@gmail.com,
Line Work Architects (P) Ltd.,"Nayabazar, Kathmandu, Nepal",Ar. Sabin Maharjan,9851172838,lineworkarchitects@gmail.com,www.lineworkarchitects.com
Habile Engineering Consultancy (P) Ltd.,"Ward No. 4, Bagdole, Lalitpur",Er. Dilip Shreesh,"01-5190438, 01-5190517","engghabile@gmail.com, habileengg@gmail.com",
ENSAFE Consultancy (P) Ltd.,"K.M.C. Ward No. 14, Sunargaun, Kuleshwor",Er. Basu Dev Pokhrel,9841254853,bdpokhrel@gmail.com,
Nayak & Brothers Engineering Consultancy (P) Ltd.,"Jwagal, Lalitpur, Nepal",Er. Rohit Kumar Nayak,9849447637,nayak7brothers@gmail.com,
Morphogenesis Consultant (P) Ltd.,"Kirtipur, Kathmandu, Nepal",Er. Amir Maharjan,9841889655,"morphogenesis.pvt.ltd@gmail.com, mgworkingprojects@gmail.com",
House of Engineering Analysis and Design Consultancy (P) Ltd.,"Ward-06, Sankhadevi Municipality, Mahalaxmi, Lalitpur",Er. Nabin Acharya,9851133543,headconsultancynep@gmail.com,
